Sugar	B-Nutrition
replacers	I-Nutrition
and	O
the	O
FDA	O
noncariogenicity	O
claim	O
.	O

In	O
1996	O
,	O
the	O
U	O
.	O
S	O
.	O

Food	O
and	O
Drug	O
Administration	O
(	O
FDA	O
)	O
approved	O
the	O
use	O
of	O
a	O
"	O
health	O
claim	O
"	O
based	O
on	O
the	O
association	O
between	O
sugar	B-Nutrition
replacers	I-Nutrition
and	O
the	O
nonpromotion	O
of	O
dental	O
caries	O
.	O

Small	O
packages	O
of	O
products	O
containing	O
such	O
sweeteners	B-Nutrition
may	O
state	O
"	O
Does	O
not	O
promote	O
tooth	O
decay	O
"	O
or	O
"	O
May	O
reduce	O
the	O
risk	O
of	O
tooth	O
decay	O
.	O
"	O
Larger	O
packages	O
must	O
include	O
additional	O
information	O
,	O
such	O
as	O
"	O
Frequent	O
eating	O
of	O
foods	B-Nutrition
high	I-Nutrition
in	I-Nutrition
sugars	I-Nutrition
and	O
starches	B-Nutrition
as	O
between	O
-	O
meal	O
snacks	B-Nutrition
can	O
promote	O
tooth	O
decay	O
.	O
"	O
FDA	O
criteria	O
state	O
that	O
these	O
products	B-Nutrition
must	O
not	O
only	O
be	O
"	O
sugar	B-Nutrition
-	I-Nutrition
free	I-Nutrition
,	O
"	O
but	O
they	O
must	O
also	O
contain	O
a	O
noncariogenic	B-Nutrition
sugar	I-Nutrition
replacer	I-Nutrition
and	O
not	O
lower	O
plaque	O
pH	O
below	O
5	O
.	O
7	O
either	O
during	O
consumption	O
or	O
up	O
to	O
30	O
minutes	O
after	O
consumption	O
when	O
tested	O
by	O
in	O
vivo	O
pH	O
telemetry	O
.	O

Many	O
people	O
might	O
reduce	O
their	O
caries	O
risk	O
by	O
using	O
sugar	B-Nutrition
-	I-Nutrition
free	I-Nutrition
products	I-Nutrition
,	O
and	O
the	O
FDA	O
claim	O
can	O
help	O
consumers	O
identity	O
such	O
products	B-Nutrition
.	O

Dental	O
hygienists	O
are	O
ideal	O
sources	O
of	O
consumer	O
information	O
about	O
sugar	B-Nutrition
replacers	I-Nutrition
,	O
and	O
can	O
help	O
clients	O
distinguish	O
between	O
the	O
new	O
FDA	O
claim	O
and	O
advertising	O
claims	O
that	O
are	O
not	O
regulated	O
by	O
FDA	O
.	O

The	O
purpose	O
of	O
this	O
article	O
is	O
to	O
provide	O
dental	O
hygienists	O
with	O
information	O
on	O
sugar	B-Nutrition
replacers	I-Nutrition
that	O
will	O
help	O
clients	O
make	O
appropriate	O
nutrition	B-Nutrition
choices	I-Nutrition
.	O

Health	O
care	O
providers	O
'	O
experiences	O
with	O
problem	O
gamblers	B-Non_physical_leisure_time_activities
.	O

The	O
purpose	O
of	O
this	O
study	O
was	O
to	O
document	O
health	O
care	O
providers	O
'	O
awareness	O
of	O
problem	O
gambling	B-Non_physical_leisure_time_activities
and	O
frequency	O
of	O
recognition	O
and	O
treatment	O
.	O

An	O
exploratory	O
survey	O
was	O
designed	O
to	O
collect	O
data	O
on	O
awareness	O
and	O
knowledge	O
of	O
problem	O
gambling	B-Non_physical_leisure_time_activities
.	O

A	O
structured	O
questionnaire	O
was	O
completed	O
anonymously	O
by	O
180	O
health	O
care	O
providers	O
(	O
nurses	O
,	O
physicians	O
,	O
social	O
workers	O
,	O
