Inhalation	O
transfer	O
factors	O
for	O
air	B-LSF
pollution	I-LSF
health	O
risk	O
assessment	O
.	O

To	O
facilitate	O
routine	O
health	O
risk	O
assessments	O
,	O
we	O
develop	O
the	O
concept	O
of	O
an	O
inhalation	O
transfer	O
factor	O
(	O
ITF	O
)	O
.	O

The	O
ITF	O
is	O
defined	O
as	O
the	O
pollutant	B-LSF
mass	O
inhaled	O
by	O
an	O
exposed	O
individual	O
per	O
unit	O
pollutant	B-LSF
mass	O
emitted	O
from	O
an	O
air	B-LSF
pollution	I-LSF
source	I-LSF
.	O

A	O
cumulative	O
population	O
inhalation	O
transfer	O
factor	O
(	O
PITF	O
)	O
is	O
also	O
defined	O
to	O
describe	O
the	O
total	O
fraction	O
of	O
an	O
emitted	B-LSF
pollutant	I-LSF
inhaled	O
by	O
all	O
members	O
of	O
the	O
exposed	O
population	O
.	O

In	O
this	O
paper	O
,	O
ITFs	O
and	O
PITFs	O
are	O
calculated	O
for	O
outdoor	O
releases	O
from	O
area	O
,	O
point	O
,	O
and	O
line	O
sources	O
,	O
indoor	O
releases	O
in	O
single	O
zone	O
and	O
multizone	O
indoor	O
environments	O
,	O
and	O
releases	B-LSF
within	I-LSF
motor	I-LSF
vehicles	I-LSF
.	O

Typical	O
PITFs	O
for	O
an	O
urban	B-LSF
area	I-LSF
from	O
emissions	B-LSF
outdoors	I-LSF
are	O
approximately	O
10	O
(	O
-	O
6	O
)	O
-	O
10	O
(	O
-	O
3	O
)	O
.	O

PITFs	O
associated	O
with	O
emissions	B-LSF
in	I-LSF
buildings	I-LSF
or	I-LSF
in	I-LSF
moving	I-LSF
vehicles	I-LSF
are	O
typically	O
much	O
higher	O
,	O
approximately	O
10	O
(	O
-	O
3	O
)	O
-	O
10	O
(	O
-	O
1	O
)	O
.	O

Home	B-LSF
smoking	I-LSF
restrictions	O
and	O
adolescent	B-LSF
smoking	I-LSF
.	O

The	O
prevention	O
of	O
adolescent	B-LSF
smoking	I-LSF
has	O
focused	O
on	O
peer	O
influences	O
to	O
the	O
relative	O
neglect	O
of	O
parental	O
influences	O
.	O

Parents	O
socialize	O
their	O
children	O
about	O
many	O
behaviors	O
including	O
smoking	B-LSF
,	O
and	O
parental	O
rules	O
about	O
their	O
child	O
'	O
s	O
smoking	B-LSF
have	O
been	O
related	O
to	O
lower	O
levels	O
of	O
adolescent	B-LSF
smoking	I-LSF
.	O

Moreover	O
,	O
among	O
adults	O
,	O
indoor	B-LSF
smoking	I-LSF
restrictions	O
have	O
been	O
associated	O
with	O
decreased	O
smoking	B-LSF
.	O

Accordingly	O
,	O
the	O
current	O
study	O
tested	O
the	O
relation	O
of	O
adolescent	B-LSF
smoking	I-LSF
to	O
home	B-LSF
smoking	I-LSF
policy	O
(	O
rules	O
regulating	O
where	O
adults	O
are	O
allowed	O
to	O
smoke	B-LSF
in	I-LSF
the	I-LSF
home	I-LSF
)	O
.	O

Results	O
showed	O
that	O
restrictive	O
home	B-LSF
smoking	I-LSF
policies	O
were	O
associated	O
with	O
lower	O
likelihood	O
of	O
trying	O
smoking	B-LSF
for	O
both	O
middle	B-LSF
and	I-LSF
high	I-LSF
school	I-LSF
students	I-LSF
.	O

However	O
,	O
for	O
high	B-LSF
school	I-LSF
students	I-LSF
this	O
relation	O
was	O
restricted	O
to	O
homes	O
with	O
non	B-LSF
-	I-LSF
smoking	I-LSF
parents	I-LSF
.	O

Home	B-LSF
smoking	I-LSF
policies	O
were	O
not	O
associated	O
with	O
current	O
regular	B-LSF
smoking	I-LSF
for	O
either	O
middle	B-LSF
or	I-LSF
high	I-LSF
school	I-LSF
students	I-LSF
.	O

Home	B-LSF
smoking	I-LSF
policies	O
may	O
be	O
useful	O
in	O
preventing	O
adolescent	B-LSF
smoking	I-LSF
experimentation	O
,	O
although	O
longitudinal	O
and	O
experimental	O
research	O
is	O
necessary	O
to	O
confirm	O
this	O
hypothesis	O
.	O

