acronym	ontology_name	acceptance_score	match_count	coverage	names	class_counts	number_of_releases	first_release_year	last_release_year	overlap	covergae_rank	overlap_rank	rank	url
PCALION	Prostate Cancer Lifestyle Ontology	183	21	0.04329896907	income#dairy product#education#vitamin#egg#fruit#living environment#xenobiotics#alcohol consumption#sleep#physical activity#leisure time#energy#beverage#radiation#calorie#food additive#legume#occupational exposure#vegetable#occupation	397	6	2019	2020	0.05289672544	13	1	1	https://bioportal.bioontology.org/ontologies/PCALION
MESH	Medical Subject Headings	887	138	0.2845360825	recreational drug#delta sleep#household activities#plastic surgery#psychological interventions#leisure#cereals#drugs#REM sleep#education#sleep habits#social conditions#education level#caloric intake#household work#sleeping habits#economic status#slow-wave sleep#alcohol consumption#food containers#sleep#socioeconomic status#cereal#beverage#seeds#personal care products#heavy metal poisoning#opioid#tobacco#hallucinogen#micronutrient#sleep stage#smoking#working conditions#occupational exposure#oral health#food#performance-enhancing substance#economic factors#food packaging#dietary carbohydrate#prebiotic#dental hygiene#vegetable oil#ionizing radiation#food supplement#dietary fiber#opiate#phytonutrient#organic food#egg#household activity#performance-enhancing drug#gambling#social factors#socioeconomic factors#fruit#psychoanalytic therapy#food habit#dietary fat#social environment#physical inactivity#paradoxical sleep#sedentary lifestyle#drug dependence#performance enhancing substance#meditation#mobile phone use#illegal drug#pesticide residues#illicit drug#housework#sleep duration#occupational activity#athlete#dream#income#radiation exposure#social context#wage#vitamin#literacy#sleep quality#substance addiction#housing#cognitive behavioral therapy#environmental exposures#eating behavior#oral hygiene#drug addiction#dietary habits#cereal grains#macronutrient#physical activity#deep sleep#dioxin#salary#genetically modified food#convenience food#radiation#meat#food additive#cosmetic surgery#hand hygiene#calorie intake#vegetable#psychotherapy#dairy product#housing condition#electromagnetic radiation#water#physical fitness#malnutrition#social networking#dental implant#phytochemical#drinking water#GMO food#sweetener#hygiene#xenobiotics#sports#sleep quantity#occupational status#sanitation#processed foods#aerobic exercise#physical activities#physical exercise#video games#eating habits#processed food#legume#nuts#team sport#steroid#social status#occupation	349665	25	2009	2022	0.0003946634636	1	38	1	https://bioportal.bioontology.org/ontologies/MESH
DILON	Dietary lifestyle ontology	0.19	11	0.02268041237	vitamin#meat#egg#malnutrition#legume#fruit#beverage#smoking#sweetener#cereal#vegetable	262	2	2021	2021	0.04198473282	24	2	2	https://bioportal.bioontology.org/ontologies/DILON
MDM	Mapping of Drug Names and MeSH 2022	277	132	0.2721649485	recreational drug#delta sleep#household activities#plastic surgery#psychological interventions#leisure#cereals#drugs#REM sleep#education#sleep habits#social conditions#caloric intake#household work#sleeping habits#economic status#slow-wave sleep#alcohol consumption#food containers#sleep#socioeconomic status#cereal#beverage#seeds#personal care products#opioid#heavy metal poisoning#tobacco#hallucinogen#micronutrient#sleep stage#smoking#occupational exposure#oral health#food#performance-enhancing substance#economic factors#food packaging#dietary carbohydrate#prebiotic#dental hygiene#vegetable oil#ionizing radiation#food supplement#dietary fiber#opiate#phytonutrient#organic food#egg#household activity#performance-enhancing drug#gambling#social factors#socioeconomic factors#fruit#psychoanalytic therapy#food habit#dietary fat#social environment#physical inactivity#paradoxical sleep#sedentary lifestyle#drug dependence#performance enhancing substance#meditation#mobile phone use#illegal drug#pesticide residues#illicit drug#housework#athlete#dream#income#radiation exposure#social context#wage#vitamin#literacy#sleep quality#substance addiction#housing#cognitive behavioral therapy#environmental exposures#eating behavior#oral hygiene#drug addiction#dietary habits#cereal grains#macronutrient#physical activity#deep sleep#dioxin#salary#genetically modified food#convenience food#radiation#meat#food additive#cosmetic surgery#hand hygiene#calorie intake#vegetable#psychotherapy#dairy product#housing condition#electromagnetic radiation#water#physical fitness#malnutrition#social networking#dental implant#phytochemical#drinking water#GMO food#sweetener#hygiene#xenobiotics#sports#occupational status#sanitation#aerobic exercise#physical activities#physical exercise#video games#alcohol#eating habits#legume#nuts#team sport#steroid#social status#occupation	44789	5	2021	2022	0.002947152203	2	18	2	https://bioportal.bioontology.org/ontologies/MDM
EXMO	Exercise Medicine Ontology	0	11	0.02268041237	physical fitness#athlete#anaerobic exercise#sleep#aerobic exercise#physical activity#energy#physical exercise#type of exercise#vigorous physical activity#vigorous-intensity activity	407	2	2022	2022	0.02702702703	23	3	3	https://bioportal.bioontology.org/ontologies/EXMO
NCIT	National Cancer Institute Thesaurus	895	91	0.187628866	recreational drug#plastic surgery#supplement#leisure#REM sleep#education#education level#caloric intake#alcohol consumption#sleep#socioeconomic status#beverage#seeds#opioid#tobacco#hallucinogen#micronutrient#sleep stage#smoking#occupational exposure#food#dietary carbohydrate#dental hygiene#drinker#ionizing radiation#dietary fiber#opiate#chemical exposure#organic food#egg#household activity#socioeconomic factors#fruit#exposure to radiation#dietary fat#genetically engineered#environmental factors#energy#sedentary lifestyle#drug dependence#meditation#housework#dream#income#smoking frequency#nutrition#radiation exposure#watching TV#rapid eye movement sleep#wage#vitamin#literacy#sleep quality#housing#environmental exposures#oral hygiene#macronutrient#physical activity#leisure time#CBT#dioxin#radiation#meat#cosmetic surgery#alcohol use#smoking tobacco#vegetable#recreational activities#household wealth#psychotherapy#dairy product#blue-collar#electromagnetic radiation#water#malnutrition#social networking#dental implant#phytochemical#drinking water#sweetener#hygiene#sports#bedtime#aerobic exercise#alcohol#household income#calorie#socializing#dietary mineral#steroid#occupation	184509	132	2007	2023	0.0004932008737	3	35	3	https://bioportal.bioontology.org/ontologies/NCIT
SNOMEDCT	SNOMED CT	966	81	0.1670103093	lack of physical exercise#exposed to vibration#plastic surgery#sugar intake#REM sleep#education#economic status#exposure to ionizing radiation#traveling#sleep#cereal#exposure to vibration#seeds#pesticide poisoning#tobacco#hallucinogen#psychoactive substance#smoking#food#dental hygiene#vegetable oil#ionizing radiation#NREM sleep#chemical poisoning#organic food#gambling#fruit#exposure to radiation#travelling#paradoxical sleep#sedentary lifestyle#drug dependence#mental health care#housework#occupational activity#dream#nutrition#cognitive-behavior therapy#social context#rapid eye movement sleep#cognitive-behaviour therapy#vitamin#oral hygiene#drug addiction#physical activity#deep sleep#dioxin#convenience food#radiation#meat#food additive#cosmetic surgery#calorie intake#vegetable#psychotherapy#mineral supplement#electromagnetic radiation#water#malnutrition#physical environment#phytochemical#drinking water#religiosity#sports#vitamin intake#bedtime#fish intake#physical exercise#pet ownership#household income#alcohol#drinking alcohol#processed food#calorie#active sleep#legume#toxic chemical#financial status#steroid#social status#occupation	365176	26	2009	2022	0.0002218108528	4	48	4	https://bioportal.bioontology.org/ontologies/SNOMEDCT
BERO	Biological and Environmental Research Ontology	272	63	0.1298969072	dairy#dietary carbohydrate#dental hygiene#nutrition#ionizing radiation#radiation exposure#dairy product#leisure#drugs#dietary fiber#electromagnetic radiation#water#vitamin#opiate#physical fitness#phytonutrient#organic food#egg#malnutrition#chemical exposure#steroid#housing#fruit#dental implant#phytochemical#drinking water#toxic agent#eating behavior#hygiene#oral hygiene#sweetener#xenobiotics#sports#sanitation#pesticide residues#pesticide exposure#sleep#macronutrient#physical activity#energy#video games#alcohol#dioxin#paradoxical sleep#beverage#eating behaviour#seeds#opioid#tobacco#radiation#meat#food additive#drug dependence#hallucinogen#micronutrient#nuts#dietary mineral#hand hygiene#smoking tobacco#occupational exposure#food#vegetable#environmental condition	392307	3	2022	2022	0.0001605885187	5	51	5	https://bioportal.bioontology.org/ontologies/BERO
CRISP	Computer Retrieval of Information on Scientific Projects Thesaurus	0.77	60	0.1237113402	dietary carbohydrate#occupational activity#dream#income#psychotherapy#nutrition#vegetable oil#ionizing radiation#plastic surgery#dairy product#leisure#REM sleep#education#dietary fiber#rapid eye movement sleep#electromagnetic radiation#water#vitamin#oral health#physical fitness#literacy#malnutrition#gambling#steroid#housing#fruit#dental implant#drinking water#sports#drug addiction#sanitation#food chain contamination#dietary fat#sleep#social environment#aerobic exercise#CBT#alcohol#drinking alcohol#dioxin#beverage#paradoxical sleep#salary#tobacco#radiation#meat#food additive#cosmetic surgery#dental health#drug dependence#hallucinogen#legume#dietary mineral#meditation#smoking tobacco#smoking#food#vegetable#social status#occupation	9039	21	2013	2022	0.006637902423	6	10	6	https://bioportal.bioontology.org/ontologies/CRISP
LOINC	Logical Observation Identifier Names and Codes	889	55	0.1134020619	occupational activity#nutrition#plastic surgery#psychological therapy#dairy product#activity intensity#leisure#education#drugs#watching TV#job position#water#vitamin#oral health#chemical exposure#egg#malnutrition#housing#outdoor activity#fruit#drinking water#activity level#sweetener#hygiene#sports#exercise activity#watching television#sleep#aerobic exercise#physical activity#energy#alcohol#dioxin#pesticide poisoning#opioid#heavy metal poisoning#vigorous physical activity#tobacco#radiation#personal hygiene#anaerobic exercise#eating patterns#alcohol use#legume#social life#oral care#calorie intake#listening to music#smoking tobacco#occupational exposure#illegal drug#food#smoking#sleep duration#occupation	283805	24	2009	2022	0.0001937950353	7	50	7	https://bioportal.bioontology.org/ontologies/LOINC
