name	LFID	ontology_acronym	xref_id	xref_definition
nutrition	LFID:0000003	LOINC	http://purl.bioontology.org/ontology/LNC/MTHU047298	
nutrition	LFID:0000003	LOINC	http://purl.bioontology.org/ontology/LNC/LP172860-1	
nutrition	LFID:0000003	SNOMEDCT	http://purl.bioontology.org/ontology/SNOMEDCT/384759009	
nutrition	LFID:0000003	MEDLINEPLUS	http://purl.bioontology.org/ontology/MEDLINEPLUS/C0518896	"<p>Food provides the energy and nutrients you need to be healthy. Nutrients include <a href=""https://medlineplus.gov/dietaryproteins.html"">proteins</a>, <a href=""https://medlineplus.gov/carbohydrates.html"">carbohydrates</a>, <a href=""https://medlineplus.gov/dietaryfats.html"">fats</a>, <a href=""https://medlineplus.gov/vitamins.html"">vitamins</a>, <a href=""https://medlineplus.gov/minerals.html"">minerals</a>, and <a href=""https://medlineplus.gov/drinkingwater.html"">water</a>. </p> <p>Healthy eating is not hard. The key is to:</p><ul> <li> Eat a variety of foods, including vegetables, fruits, and whole-grain products</li> <li> Eat lean meats, poultry, fish, beans, and low-fat dairy products </li> <li> Drink lots of water</li> <li> Limit <a href=""https://medlineplus.gov/sodium.html"">salt</a>, sugar, alcohol, saturated fat, and trans fat in your diet</li> </ul> <p>Saturated fats are usually fats that come from animals. Look for trans fat on the labels of processed foods, margarines, and shortenings.</p> <p class="""">Centers for Disease Control and Prevention </p>"
nutrition	LFID:0000003	CRISP	http://purl.bioontology.org/ontology/CSP/2116-4900	science of food, the nutrients and other substances contained therein, their action, interaction, and balance in relation to health and disease.
nutrition	LFID:0000003	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C28294	That which is consumed to fuel necessary life processes of an organism.
nutrition	LFID:0000003	BERO	http://purl.obolibrary.org/obo/NCIT_C28294	That which is consumed to fuel necessary life processes of an organism.
nutrition	LFID:0000003	RCD	http://purl.bioontology.org/ontology/RCD/Xa97T	
nutrition	LFID:0000003	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16927	The science of food, the nutrients and other substances contained therein, their action, interaction, and balance in relation to health and disease.
nutrition	LFID:0000003	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C15820	Research that focuses on food, the nutrients and other substances contained therein, their action, interaction, and balance in relation to health and disease.
nutrition	LFID:0000003	BERO	http://edamontology.org/topic_3390	
substance use	LFID:0000004	MEDDRA	http://purl.bioontology.org/ontology/MEDDRA/10070964	
substance use	LFID:0000004	GSSO	http://purl.obolibrary.org/obo/GSSO_006601	Use of a chemical substance, usually involving an individual consuming said substance (which may or may not be considered a drug by cultural definition).
substance use	LFID:0000004	MESH	http://purl.bioontology.org/ontology/MESH/D019966	Disorders related to substance use or abuse.
substance use	LFID:0000004	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49615	A subject domain utilized for the submission of information encompassing and representing data, vocabulary or records related to substance use.
substance use	LFID:0000004	MDM	http://id.nlm.nih.gov/mesh/D019966	
