	acronym	ontology_name	acceptance_score	match_count	coverage	names	class_counts	number_of_releases	first_release_year	last_release_year	overlap	covergae_rank	overlap_rank	rank	url
0	EXMO	Exercise Medicine Ontology	0.0	11	0.0216110019646365	energy#physical exercise#anaerobic exercise#type of exercise#vigorous-intensity activity#vigorous physical activity#aerobic exercise#sleep#exercise intensity#physical fitness#physical activity	407	2	2022	2022	0.027027027027027	8.0	1.0	1.0	https://bioportal.bioontology.org/ontologies/EXMO
1	MDM	Mapping of Drug Names and MeSH 2022	0.0	117	0.2298624754420432	pesticide residues#physical activities#video games#tobacco use#employment status#physical exercise#occupational status#sleep#dietary habits#vegetable products#fruits#beverages#illicit drug#developing country#eating behavior#tobacco#sedentary lifestyle#social context#phytochemical#economic factors#leisure#literacy#team sport#dream#physical fitness#dental hygiene#diet#heavy metal poisoning#radiation exposure#delta sleep#dietary fiber#physical inactivity#alcohol consumption#dietary carbohydrate#psychological interventions#hand hygiene#developed country#alcoholic beverages#recreational drug#calorie intake#dioxin#education#housing#malnutrition#sleeping habits#sports#income#food#personal care products#paradoxical sleep#mobile phone use#performance-enhancing substance#smokeless tobacco#food habit#social environment#sleep habits#deep sleep#slavery#oral hygiene#socioeconomic factors#cognitive behavioral therapy#phytonutrient#xenobiotics#ionizing radiation#economic status#dietary fat#REM sleep#labor exploitation#household work#employment#radiation#housework#vegetables#food packaging#salary#illegal drug#developed nation#social factors#aerobic exercise#eating habits#hygiene#electromagnetic radiation#oral health#developing nation#socioeconomic status#macronutrient#household activities#recreational drug use#sleep quality#sanitation#micronutrient#sleep stage#cosmetic surgery#housing condition#social networking#environmental exposures#psychotherapy#psychoanalytic therapy#occupational exposure#performance-enhancing drug#food containers#smoking#physical activity#slow-wave sleep#social conditions#meditation#performance enhancing substance#gambling#household activity#caloric intake#plastic surgery#dental implant#vitamin#food additive#social status#substance use#wage	44789	5	2021	2022	0.002612248543169	1.0	14.0	1.0	https://bioportal.bioontology.org/ontologies/MDM
3	BERO	Biological and Environmental Research Ontology	0.0	47	0.0923379174852652	pesticide residues#radiation exposure#dietary fiber#macronutrient#oral hygiene#dietary mineral#video games#sanitation#physical fitness#phytonutrient#micronutrient#dietary carbohydrate#xenobiotics#hand hygiene#ionizing radiation#chemical exposure#environmental condition#occupational exposure#sleep#dioxin#vegetable products#nutrition#malnutrition#pesticide exposure#physical activity#energy#housing#radiation#urban area#vegetables#sports#eating behavior#eating behaviour#food#paradoxical sleep#tobacco#smoking tobacco#phytochemical#leisure#dental implant#smokeless tobacco#vitamin#food additive#hygiene#toxic agent#electromagnetic radiation#dental hygiene	392307	3	2022	2022	0.0001198041329876	2.0	28.0	2.0	https://bioportal.bioontology.org/ontologies/BERO
5	GSSO	Gender, Sex, and Sexual Orientation Ontology	0.0	31	0.0609037328094302	socioeconomic status#slavery#cognitive behavioral therapy#recreational drug use#social networking#chemical exposure#psychotherapy#recreational drug#performance-enhancing drug#education#housing#physical activity#employment#metropolitan area#urban area#food#salary#performance-enhancing substance#electronic game#religious practice#plastic surgery#drug use#leisure#literacy#social status#substance use#alcohol use#hygiene#dream#personal hygiene#wage	13192	74	2019	2022	0.0023499090357792	3.0	15.0	3.0	https://bioportal.bioontology.org/ontologies/GSSO
9	HHEAR	Human Health Exposure Analysis Resource	0.0	18	0.0353634577603143	household income#energy#socioeconomic status#diet#radiation exposure#vitamin#macronutrient#food additive#employment#eating behaviour#chemical exposure#alcohol use#toxic agent#micronutrient#calorie#education#oral health#physical activity	46100	14	2019	2023	0.0003904555314533	5.0	25.0	5.0	https://bioportal.bioontology.org/ontologies/HHEAR
10	CRENO	Culture, Race, Ethnicity and Nationality Ontology	0.0	8	0.0157170923379174	radiation#diet#slavery#meditation#education#salary#tobacco#housing	1106	1	2023	2023	0.0072332730560578	12.0	6.0	6.0	https://bioportal.bioontology.org/ontologies/CRENO
11	MAXO	Medical Action Ontology	0.0	12	0.0235756385068762	plastic surgery#diet#radiation#vitamin#macronutrient#food additive#aerobic exercise#cognitive behavioral therapy#psychotherapy#food#toxic agent#micronutrient	13988	51	2020	2023	0.0008578781812982	6.0	24.0	6.0	https://bioportal.bioontology.org/ontologies/MAXO
15	DREAMDNPTO	Dementia-Related Emotional And Mood Disturbance Non-Pharmacological Treatment Ontology	0.0	6	0.0117878192534381	card game#bedtime#aerobic exercise#watching television#psychotherapy#malnutrition	1258	1	2022	2022	0.0047694753577106	26.0	9.0	9.0	https://bioportal.bioontology.org/ontologies/DREAMDNPTO
17	ACVD_ONTOLOGY	Atherosclerotic Cerebrovascular Disease Ontology	0.0	7	0.0137524557956778	psychological therapy#aerobic exercise#sedentary lifestyle#vitamin intake#education#malnutrition#smoking	1715	2	2023	2023	0.0040816326530612	16.0	10.0	10.0	https://bioportal.bioontology.org/ontologies/ACVD_ONTOLOGY
19	CIDO	Coronavirus Infectious Disease Ontology	0.0	9	0.0176817288801571	xenobiotics#vitamin#macronutrient#eating behavior#food additive#eating behaviour#toxic agent#micronutrient#malnutrition	31620	41	2020	2023	0.0002846299810246	11.0	26.0	11.0	https://bioportal.bioontology.org/ontologies/CIDO
